Name,Spectral Type,Age Category,plx_mas,plx_mas_err,F200W,F200W_err,F115W,F115W_err,F182M,F182M_err,F212N,F212N_err,F140M,F140M_err,F162M,F162M_err,F210M,F210M_err,F150W,F150W_err,F164N,F164N_err,F187N,F187N_err
WISE J174102.78-464225.5,17.0,Young,50.5,2.9,13.951,0.003,16.559,0.003,14.339,0.005,13.483,0.004,15.928,0.011,14.498,0.002,13.622,0.002,15.237,0.004,14.364,0.007,14.423,0.037
WISE J174113.12+132711.9,25.0,Field,26.0,3.0,17.371,0.042,17.409,0.008,17.813,0.083,16.707,0.046,18.758,0.092,16.890,0.019,16.875,0.032,17.538,0.022,17.384,0.088,18.228,0.647
WISE J174303.71+421150.0,24.5,Field,59.0,3.0,15.842,0.020,16.186,0.006,16.202,0.040,15.118,0.025,17.133,0.042,15.465,0.011,15.371,0.017,16.127,0.012,15.671,0.036,16.350,0.172
WISE J175510.28+180320.2,22.5,Field,54.0,3.0,15.468,0.009,16.253,0.003,15.775,0.018,14.872,0.008,16.737,0.021,15.105,0.003,15.063,0.005,15.817,0.006,15.065,0.007,16.148,0.155
WISE J180901.07+383805.4,27.5,Field,52.4,2.3,18.000,0.058,17.866,0.008,19.813,0.397,16.835,0.047,19.388,0.128,17.431,0.020,17.097,0.029,18.053,0.023,18.412,0.118,nan,-1.745
WISE J181329.40+283533.3,28.0,Field,73.6,2.0,17.251,0.015,17.432,0.004,18.213,0.053,16.237,0.020,19.606,0.098,16.820,0.010,16.515,0.011,17.549,0.012,18.162,0.079,18.464,0.365
WISE J185101.83+593508.6,19.0,Field,49.2,0.6,13.815,0.002,15.310,0.002,14.115,0.004,13.345,0.004,15.231,0.005,13.900,0.002,13.504,0.002,14.556,0.002,13.803,0.006,14.163,0.015
WISE J191915.54+304558.4,19.0,Field,63.0,3.0,14.334,0.003,15.994,0.002,14.644,0.005,13.863,0.005,15.707,0.006,14.484,0.003,14.007,0.003,15.094,0.003,14.395,0.006,14.816,0.021
WISE J192841.35+235604.9,26.0,Field,146.4,1.2,14.436,0.002,14.550,0.002,15.069,0.003,13.540,0.003,16.303,0.004,13.995,0.002,13.807,0.002,14.748,0.002,14.406,0.005,15.342,0.016
WISE J195113.62-331116.7,11.0,Field,23.0,1.0,14.832,0.004,16.076,0.004,15.045,0.006,14.489,0.011,15.875,0.007,14.963,0.005,14.614,0.005,15.470,0.004,14.850,0.012,15.147,0.028
WISE J200050.19+362950.1,28.0,Field,133.4,2.2,16.043,0.011,16.033,0.003,16.910,0.032,15.090,0.013,18.075,0.060,15.549,0.006,15.339,0.008,16.293,0.008,16.629,0.039,17.131,0.224
WISE J200804.71-083428.5,25.5,Field,58.0,3.0,16.623,0.011,16.617,0.004,17.153,0.023,15.834,0.016,18.217,0.031,16.117,0.007,16.045,0.010,16.810,0.007,16.485,0.028,17.284,0.136
WISE J203042.79+074934.7,21.5,Field,102.8,0.8,13.595,0.001,14.543,0.002,13.870,0.002,13.033,0.003,14.879,0.002,13.314,0.002,13.225,0.001,14.012,0.002,13.256,0.004,14.081,0.007
WISE J212321.92-261405.1,25.5,Field,41.0,3.0,18.135,0.076,17.576,0.009,18.654,0.175,17.406,0.086,19.143,0.127,17.313,0.030,17.542,0.050,17.939,0.032,17.759,0.109,18.975,1.388
WISE J222219.93+302601.4,19.0,Field,28.0,3.0,15.363,0.005,17.031,0.004,15.640,0.010,14.933,0.007,16.768,0.013,15.548,0.004,15.072,0.003,16.159,0.006,15.456,0.010,15.640,0.061
WISE J223617.59+510551.9,25.0,Field,102.8,1.9,14.742,0.005,15.019,0.002,15.199,0.011,13.966,0.005,16.338,0.014,14.410,0.003,14.229,0.003,15.117,0.003,14.714,0.008,15.365,0.068
WISE J230133.32+021635.0,26.5,Field,54.1,2.5,16.850,0.015,16.986,0.005,17.550,0.037,15.963,0.023,18.864,0.058,16.478,0.011,16.218,0.011,17.175,0.011,17.158,0.053,17.759,0.191
WISE J233527.07+451140.9,17.0,Field,44.0,1.4,15.135,0.003,17.318,0.004,15.506,0.005,14.654,0.007,16.900,0.009,15.546,0.004,14.798,0.003,16.229,0.004,15.422,0.010,15.556,0.019
WISE J235716.49+122741.8,26.0,Field,62.0,3.0,16.640,0.016,16.688,0.004,17.282,0.038,15.733,0.017,18.299,0.047,16.224,0.007,16.021,0.010,16.922,0.009,16.862,0.033,17.075,0.153
WISEA J000131.93-084126.9,11.0,Field,20.3,1.4,15.031,0.004,16.021,0.003,15.218,0.007,14.700,0.011,15.977,0.007,15.031,0.004,14.815,0.005,15.569,0.004,14.902,0.009,15.403,0.034
WISEA J004403.39+022810.6,17.0,Young,19.7,2.1,15.318,0.004,17.633,0.006,15.621,0.006,14.941,0.007,17.003,0.011,15.803,0.004,15.056,0.004,16.457,0.005,15.673,0.010,15.675,0.030
WISEA J010202.11+035541.4,19.0,Field,40.2,2.8,15.451,0.014,17.172,0.004,15.778,0.029,14.953,0.007,17.157,0.042,15.599,0.003,15.111,0.003,16.328,0.011,15.480,0.009,15.798,0.145
WISEA J030845.36+325923.1,11.0,Field,18.6,1.4,15.133,0.003,16.054,0.002,15.325,0.004,14.798,0.007,16.079,0.005,15.097,0.003,14.909,0.004,15.644,0.003,14.984,0.008,15.475,0.023
WISEA J032301.88+562558.0,17.0,Field,52.0,3.0,14.212,0.003,16.291,0.005,14.527,0.004,13.783,0.006,15.760,0.007,14.580,0.004,13.917,0.003,15.200,0.004,14.466,0.009,14.578,0.015
WISEA J055007.94+161051.9,12.0,Field,49.2,0.5,13.231,0.001,14.797,0.002,13.476,0.002,12.858,0.004,14.409,0.002,13.427,0.002,12.983,0.002,13.957,0.001,13.350,0.004,13.581,0.007
WISEA J060742.13+455037.0,12.5,Field,39.4,0.6,13.808,0.005,15.341,0.003,14.049,0.010,13.457,0.007,14.951,0.011,14.002,0.003,13.565,0.003,14.528,0.005,13.905,0.009,14.200,0.054
WISEA J071552.38-114532.9,14.0,Field,55.5,0.3,13.357,0.002,14.600,0.002,13.612,0.003,12.933,0.004,14.581,0.004,13.388,0.002,13.082,0.002,14.026,0.002,13.258,0.005,13.756,0.013
WISEA J085224.36+513925.5,7.0,Field,21.26,0.21,13.305,0.003,14.180,0.002,13.365,0.004,13.223,0.005,13.873,0.004,13.431,0.002,13.260,0.002,13.720,0.002,13.327,0.005,13.378,0.020
WISEA J091657.18-112104.7,9.0,Field,32.95,0.25,13.208,0.003,14.372,0.002,13.300,0.005,13.072,0.006,13.932,0.004,13.393,0.002,13.128,0.003,13.726,0.002,13.308,0.006,13.286,0.028
WISEA J102304.04+155616.4,8.0,Field,32.66,0.22,13.323,0.001,14.119,0.001,13.460,0.002,13.087,0.004,14.055,0.002,13.319,0.002,13.166,0.002,13.749,0.001,13.214,0.004,13.561,0.009
WISEA J114724.10-204021.3,17.0,Young,26.7,2.0,15.297,0.007,18.039,0.007,15.654,0.014,14.859,0.007,17.391,0.027,15.904,0.005,14.997,0.004,16.663,0.008,15.758,0.011,15.586,0.066
WISEA J174336.62+154901.3,11.0,Field,30.9,0.4,13.722,0.002,14.744,0.001,13.861,0.003,13.450,0.004,14.528,0.003,13.768,0.002,13.562,0.002,14.202,0.002,13.691,0.005,13.952,0.018
WISEA J194128.98-342335.8,8.5,Field,21.81,0.25,13.927,0.003,14.742,0.002,14.074,0.004,13.681,0.008,14.664,0.004,13.950,0.004,13.764,0.004,14.365,0.003,13.841,0.008,14.182,0.015
WISEA J195311.04-022954.7,12.0,Field,22.6,1.4,14.998,0.009,16.060,0.003,15.150,0.016,14.670,0.008,15.910,0.016,15.049,0.004,14.824,0.005,15.557,0.007,14.979,0.009,15.245,0.105
WISEA J211543.59-322540.4,6.0,Field,19.39,0.17,12.922,0.004,14.087,0.002,13.008,0.006,12.791,0.011,13.597,0.005,13.056,0.004,12.828,0.005,13.369,0.003,13.019,0.009,13.065,0.047
WISEA J211807.07-321713.5,11.5,Field,21.3,1.2,14.392,0.005,15.774,0.004,14.572,0.007,14.082,0.011,15.380,0.007,14.569,0.005,14.203,0.006,15.025,0.004,14.506,0.013,14.663,0.025
WISEA J212354.78-365223.4,11.5,Field,25.1,0.7,14.314,0.005,15.758,0.004,14.512,0.009,13.964,0.012,15.405,0.010,14.506,0.007,14.106,0.006,15.002,0.006,14.420,0.016,14.591,0.036
WISEA J222409.64-185242.1,8.0,Field,18.78,0.25,13.795,0.003,14.748,0.002,13.921,0.004,13.586,0.007,14.511,0.004,13.882,0.003,13.659,0.003,14.257,0.002,13.790,0.008,14.015,0.017
WISEA J232219.45-140726.2,11.0,Field,16.2,1.2,15.443,0.005,16.258,0.003,15.631,0.008,15.123,0.011,16.328,0.008,15.379,0.004,15.226,0.006,15.909,0.005,15.277,0.010,15.841,0.041
WISEA J235422.31-081129.7,15.0,Young,20.4,1.6,15.337,0.003,17.608,0.005,15.607,0.005,15.010,0.007,16.914,0.007,15.846,0.005,15.099,0.004,16.448,0.004,15.729,0.010,15.638,0.021
WISEP J004701.06+680352.1,17.0,Young,82.3,1.8,13.507,0.002,16.024,0.003,13.901,0.003,13.025,0.005,15.460,0.006,14.035,0.003,13.166,0.002,14.750,0.003,13.921,0.006,13.951,0.015
WISEP J060738.65+242953.4,18.0,Field,138.1,0.5,12.753,0.001,14.511,0.001,13.072,0.002,12.288,0.003,14.289,0.002,12.931,0.002,12.425,0.001,13.587,0.001,12.839,0.005,13.200,0.005
WISEP J131141.91+362925.2,15.0,Field,31.1,1.4,14.510,0.002,15.862,0.002,14.751,0.003,14.087,0.004,15.701,0.003,14.524,0.002,14.238,0.002,15.123,0.002,14.450,0.005,14.937,0.017
WISEP J180026.60+013453.1,17.5,Field,128.1,0.5,12.822,0.001,14.634,0.002,13.120,0.002,12.391,0.004,14.259,0.002,13.078,0.002,12.525,0.001,13.682,0.001,12.972,0.005,13.209,0.006
WISEP J190648.47+401106.8,11.0,Field,59.67,0.1,12.111,0.001,13.359,0.001,12.294,0.002,11.796,0.004,13.009,0.002,12.215,0.002,11.906,0.002,12.661,0.001,12.154,0.004,12.485,0.006
WISEPA J012333.21+414203.9,27.0,Field,39.3,2.4,17.487,0.014,17.579,0.003,18.061,0.032,16.678,0.019,19.403,0.051,17.048,0.007,16.901,0.010,17.781,0.010,17.574,0.027,18.254,0.147
WISEPA J020625.26+264023.6,18.0,Field,52.1,1.4,14.817,0.002,16.883,0.003,15.152,0.004,14.362,0.005,16.442,0.005,15.173,0.003,14.502,0.003,15.816,0.003,15.074,0.008,15.193,0.017
WISEPA J044853.29-193548.5,25.0,Field,58.0,3.0,17.821,0.128,17.143,0.009,18.069,0.226,17.127,0.125,18.873,0.195,16.695,0.021,17.374,0.064,17.418,0.034,16.952,0.071,nan,-4.133
WISEPA J050003.05-122343.2,28.0,Field,84.6,2.2,19.115,0.185,18.362,0.017,19.365,0.315,18.563,0.289,20.915,0.556,17.871,0.045,18.690,0.148,18.663,0.055,19.130,0.343,18.831,0.849
WISEPA J062309.94-045624.6,28.0,Field,86.5,1.7,18.029,0.118,17.655,0.018,18.849,0.371,16.982,0.093,19.207,0.293,17.216,0.038,17.287,0.068,17.856,0.052,18.694,0.436,17.788,0.752
WISEPA J062720.07-111428.8,26.0,Field,75.0,4.0,15.632,0.011,15.834,0.003,16.182,0.026,14.795,0.011,17.432,0.043,15.296,0.005,15.069,0.006,16.009,0.007,15.757,0.017,16.225,0.156
WISEPA J065609.60+420531.0,23.0,Field,63.0,4.0,15.334,0.018,15.705,0.004,15.739,0.034,14.627,0.017,16.572,0.033,14.759,0.006,14.839,0.012,15.498,0.008,14.716,0.014,16.323,0.316
WISEPA J081958.05-033529.0,24.0,Young,71.4,2.2,14.908,0.008,15.327,0.002,15.275,0.016,14.198,0.009,16.372,0.020,14.383,0.003,14.428,0.005,15.154,0.005,14.429,0.009,15.770,0.133
WISEPA J082131.63+144319.3,25.5,Field,44.0,4.0,16.655,0.030,17.004,0.007,17.301,0.074,15.854,0.038,18.144,0.075,16.414,0.013,16.073,0.019,17.070,0.018,16.839,0.055,17.001,0.287
WISEPA J132233.66-234017.1,28.0,Field,78.0,4.0,17.844,0.046,17.373,0.008,18.645,0.117,16.973,0.056,19.638,0.185,16.960,0.018,17.126,0.034,17.675,0.023,17.871,0.115,nan,-2.541
WISEPA J162725.64+325525.5,26.0,Field,54.4,1.9,17.101,0.009,16.827,0.002,17.627,0.019,16.292,0.010,18.727,0.028,16.347,0.004,16.515,0.006,17.074,0.005,16.897,0.014,17.681,0.137
WISEPA J164715.59+563208.2,17.0,Field,42.7,2.1,14.934,0.007,16.980,0.005,15.272,0.012,14.478,0.007,16.573,0.018,15.278,0.005,14.616,0.004,15.927,0.006,15.165,0.010,15.297,0.070
WISEPA J165311.05+444423.9,28.0,Field,75.7,1.9,17.659,0.026,17.744,0.007,18.690,0.082,16.639,0.041,19.861,0.119,17.049,0.015,16.896,0.024,17.824,0.016,18.074,0.108,19.186,0.715
WISEPA J172844.93+571643.6,26.0,Field,39.3,2.5,18.304,0.041,18.027,0.007,18.997,0.098,17.400,0.056,19.545,0.086,17.450,0.017,17.636,0.035,18.153,0.020,18.019,0.074,nan,-0.846
WISEPA J174124.26+255319.5,29.0,Field,214.3,2.8,16.863,0.010,16.630,0.002,18.015,0.041,15.843,0.009,19.308,0.075,16.103,0.004,16.078,0.005,16.878,0.006,17.810,0.040,17.978,0.175
WISEPA J185215.78+353716.3,27.0,Field,72.0,1.9,16.808,0.009,16.909,0.003,17.772,0.027,15.835,0.012,18.982,0.040,16.499,0.006,16.073,0.006,17.192,0.007,17.422,0.031,17.906,0.134
WISEPA J190624.75+450808.2,26.0,Field,64.1,1.6,16.538,0.011,16.537,0.002,16.979,0.023,15.831,0.014,18.149,0.031,16.045,0.006,16.040,0.009,16.741,0.006,16.514,0.025,16.971,0.134
WISEPA J195905.66-333833.7,28.0,Field,83.9,2.0,17.227,0.025,17.256,0.004,18.077,0.075,16.326,0.020,19.354,0.128,16.775,0.011,16.540,0.012,17.511,0.015,17.851,0.076,18.643,0.654
WISEPC J004928.48+044100.1,19.0,Field,62.6,2.9,14.526,0.002,16.238,0.003,14.816,0.005,14.078,0.005,15.952,0.006,14.684,0.002,14.218,0.003,15.311,0.003,14.607,0.006,14.897,0.032
WISEPC J013836.59-032221.2,23.0,Field,43.9,2.9,15.615,0.006,16.628,0.003,15.915,0.010,15.137,0.007,17.028,0.014,15.520,0.004,15.270,0.005,16.186,0.005,15.539,0.010,16.059,0.067
WISEPC J022322.39-293258.1,27.5,Field,80.7,2.6,17.972,0.054,17.591,0.007,18.764,0.150,17.032,0.045,19.870,0.216,17.110,0.016,17.249,0.029,17.878,0.023,17.973,0.078,19.569,1.912
WISEPC J112254.73+255021.5,26.0,Field,66.3,2.3,17.425,0.221,16.870,0.008,19.303,1.861,16.203,0.044,17.808,0.182,16.491,0.018,16.414,0.028,17.015,0.048,17.231,0.091,nan,-0.949
WISEPC J132004.16+603426.2,26.5,Field,60.6,2.6,16.774,0.021,16.939,0.009,17.602,0.064,15.957,0.029,18.635,0.082,16.519,0.016,16.090,0.015,17.132,0.017,17.202,0.066,17.250,0.237
WISEPC J145715.03+581510.2,27.0,Field,55.0,2.3,17.524,0.077,17.339,0.006,18.149,0.201,16.697,0.052,19.202,0.229,16.900,0.015,16.888,0.027,17.587,0.033,17.673,0.089,17.908,0.915
WISEPC J215751.38+265931.4,27.0,Field,61.2,2.0,17.725,0.010,17.611,0.003,18.560,0.025,16.765,0.017,19.856,0.067,17.140,0.006,17.024,0.009,17.870,0.008,18.087,0.036,18.702,0.148
WISEPC J220922.10-273439.5,27.0,Field,76.0,4.0,17.560,0.022,17.108,0.003,18.144,0.056,16.778,0.022,19.186,0.078,16.618,0.006,16.947,0.012,17.396,0.010,17.490,0.039,18.375,0.312
WISEPC J221354.69+091139.4,27.0,Field,54.5,2.5,17.354,0.012,17.317,0.004,18.064,0.029,16.468,0.017,19.376,0.052,16.860,0.009,16.700,0.010,17.592,0.010,17.594,0.042,18.397,0.188
WISEPC J222623.05+044003.9,28.0,Field,54.0,6.0,17.561,0.015,17.480,0.005,18.641,0.049,16.521,0.020,19.622,0.066,17.052,0.009,16.778,0.013,17.755,0.010,18.270,0.079,18.956,0.305
WISEPC J223729.53-061434.2,25.0,Field,35.0,2.7,18.040,0.082,17.728,0.007,18.378,0.164,17.468,0.060,19.381,0.179,17.237,0.015,17.588,0.034,17.945,0.026,17.571,0.057,18.700,1.160
WISEPC J225540.74-311841.8,28.0,Young,73.0,4.0,17.804,0.030,17.888,0.006,18.844,0.097,16.772,0.032,20.178,0.152,17.378,0.015,17.057,0.019,18.126,0.019,19.011,0.191,18.094,0.262
WISEPC J231939.13-184404.3,27.5,Field,80.9,2.7,19.184,0.204,18.071,0.010,20.664,1.103,18.034,0.111,20.248,0.290,17.655,0.029,18.204,0.067,18.373,0.037,18.774,0.223,nan,-0.467
WISEPC J232728.75-273056.5,19.0,Field,47.0,6.0,15.244,0.004,16.922,0.004,15.567,0.006,14.755,0.008,16.790,0.008,15.373,0.004,14.906,0.004,16.051,0.004,15.299,0.009,15.647,0.027
WISEPC J234026.62-074507.2,27.0,Field,48.0,3.0,16.738,0.021,16.650,0.003,17.439,0.061,15.840,0.015,18.491,0.094,16.146,0.007,16.080,0.009,16.854,0.012,16.911,0.030,19.287,2.428
WISEPC J234841.10-102844.4,27.0,Field,58.0,4.0,17.095,0.032,17.197,0.004,17.907,0.099,16.163,0.019,19.402,0.189,16.734,0.008,16.418,0.011,17.453,0.019,17.743,0.058,18.411,0.944
Wolf 359,6.0,Field,415.18,0.07,6.244,0.001,7.333,0.002,6.339,0.002,6.111,0.004,6.858,0.002,6.420,0.002,6.156,0.002,6.680,0.001,6.350,0.004,6.344,0.010
PSO J069.4987+19.6346,8.1,Young,10.6,0.3,13.676,0.002,14.647,0.002,13.811,0.004,13.460,0.004,14.446,0.004,13.774,0.002,13.532,0.002,14.164,0.002,13.680,0.005,13.924,0.031
PSO J260.1789+15.3091,8.7,Young,17.4,1.1,14.647,0.005,16.046,0.003,14.834,0.007,14.382,0.009,15.699,0.009,14.849,0.005,14.459,0.004,15.327,0.005,14.737,0.013,14.917,0.033
PSO J271.8353+46.9326,6.7,Young,12.41,0.13,13.458,0.003,14.464,0.002,13.599,0.006,13.235,0.004,14.154,0.006,13.548,0.002,13.303,0.002,13.892,0.003,13.471,0.005,13.789,0.046
PSO J042.8405+35.3726,9.4,Young,21.4,0.4,13.789,0.002,14.878,0.002,13.940,0.004,13.560,0.006,14.629,0.004,13.927,0.002,13.636,0.002,14.336,0.002,13.835,0.006,14.000,0.015
PSO J000.2794+16.6237,7.2,Young,13.2,0.4,14.082,0.003,15.179,0.002,14.195,0.005,13.935,0.008,14.755,0.004,14.262,0.003,13.977,0.004,14.558,0.003,14.195,0.009,14.194,0.024
PSO J058.0039+41.7950,9.6,Young,23.0,0.8,12.581,0.001,13.867,0.002,12.740,0.002,12.348,0.003,13.503,0.002,12.774,0.001,12.422,0.001,13.197,0.001,12.685,0.004,12.805,0.009
PSO J138.1887-06.9862,8.8,Young,16.4,0.4,14.083,0.002,15.210,0.002,14.230,0.004,13.854,0.005,14.904,0.005,14.224,0.002,13.936,0.002,14.615,0.003,14.133,0.006,14.311,0.020
PSO J323.4300-07.5353,8.0,Young,15.16,0.2,12.955,0.004,14.023,0.002,13.092,0.006,12.743,0.005,13.710,0.005,13.096,0.002,12.812,0.002,13.459,0.002,13.013,0.005,13.165,0.034
PSO J307.7981-06.6854,9.1,Young,12.0,1.6,15.064,0.006,16.284,0.004,15.225,0.011,14.817,0.011,15.912,0.010,15.239,0.005,14.896,0.005,15.619,0.005,15.156,0.013,15.254,0.060
PSO J279.6187+11.6036,8.5,Field,16.3,0.3,13.775,0.002,14.843,0.002,13.904,0.004,13.572,0.005,14.520,0.004,13.909,0.002,13.643,0.002,14.267,0.002,13.824,0.005,13.980,0.028
PSO J345.2949+07.7665,9.9,Young,14.8,1.2,14.627,0.002,15.973,0.002,14.796,0.004,14.378,0.005,15.629,0.005,14.816,0.002,14.455,0.002,15.281,0.002,14.721,0.006,14.885,0.022
PSO J299.5032+55.0722,8.6,Young,17.2,0.21,13.877,0.004,14.967,0.002,14.042,0.006,13.616,0.006,14.679,0.007,13.993,0.003,13.702,0.003,14.382,0.003,13.904,0.006,14.200,0.048
PSO J037.4616+17.2761,8.2,Young,13.9,0.3,13.739,0.003,14.827,0.003,13.852,0.004,13.555,0.006,14.507,0.005,13.864,0.003,13.624,0.003,14.241,0.003,13.767,0.006,13.899,0.016
PSO J313.1067+32.9117,12.5,Young,16.5,2.2,15.042,0.003,16.340,0.003,15.257,0.004,14.708,0.006,16.104,0.005,15.151,0.004,14.815,0.003,15.677,0.003,15.047,0.010,15.383,0.023
PSO J032.2211+67.4179,6.6,Young,6.0,0.5,15.081,0.004,16.210,0.002,15.186,0.005,14.932,0.008,15.785,0.005,15.260,0.003,14.980,0.003,15.573,0.003,15.185,0.008,15.260,0.028
PSO J210.6211-26.9300,9.1,Young,14.1,0.6,14.962,0.004,16.102,0.002,15.106,0.006,14.734,0.007,15.784,0.006,15.098,0.003,14.816,0.003,15.496,0.003,15.016,0.009,15.208,0.038
PSO J316.1306-09.6562,10.8,Young,18.7,1.6,14.813,0.006,16.156,0.004,14.971,0.009,14.539,0.008,15.832,0.011,14.998,0.005,14.654,0.004,15.470,0.005,14.892,0.011,14.973,0.052
PSO J080.3940+23.0999,9.5,Young,14.4,0.6,14.260,0.002,15.432,0.002,14.418,0.004,14.011,0.006,15.170,0.006,14.393,0.003,14.095,0.003,14.836,0.003,14.298,0.007,14.504,0.020
PSO J075.4182-17.8327,8.1,Young,10.4,0.3,14.287,0.004,15.419,0.002,14.414,0.006,14.098,0.006,15.058,0.006,14.431,0.004,14.159,0.004,14.803,0.003,14.338,0.009,14.513,0.029
[HB88] M18,8.5,Field,36.81,0.18,12.636,0.001,13.670,0.002,12.765,0.002,12.425,0.004,13.409,0.002,12.753,0.002,12.501,0.002,13.140,0.002,12.660,0.005,12.847,0.008
[HB88] M19,7.5,Field,28.76,0.18,12.451,0.002,13.609,0.002,12.581,0.002,12.250,0.005,13.236,0.003,12.613,0.002,12.316,0.002,12.978,0.002,12.538,0.005,12.628,0.008
[HB88] M20,8.2,Field,22.36,0.23,13.436,0.002,14.558,0.002,13.563,0.003,13.236,0.005,14.207,0.003,13.580,0.002,13.305,0.003,13.947,0.002,13.491,0.007,13.635,0.012
PSO J277.3873+26.0116,11.5,Field,34.1,0.4,14.050,0.003,15.297,0.003,14.230,0.004,13.740,0.005,14.996,0.005,14.138,0.002,13.851,0.002,14.605,0.003,14.067,0.007,14.255,0.019
PSO J281.4296+04.2296,9.4,Young,27.3,0.4,13.348,0.002,14.616,0.001,13.511,0.003,13.103,0.004,14.258,0.003,13.528,0.002,13.184,0.002,13.948,0.002,13.444,0.005,13.569,0.012
PSO J349.3359+32.0532,11.5,Young,11.4,1.6,15.676,0.004,17.278,0.004,15.883,0.007,15.407,0.008,16.854,0.007,15.957,0.004,15.479,0.005,16.464,0.004,15.840,0.011,15.958,0.030
vB 10,8.0,Field,168.95,0.07,9.049,0.002,10.122,0.002,9.190,0.003,8.834,0.003,9.792,0.003,9.198,0.002,8.904,0.001,9.542,0.002,9.123,0.004,9.260,0.016
vB 8,7.0,Field,153.97,0.06,9.074,0.002,9.996,0.002,9.195,0.003,8.875,0.003,9.725,0.003,9.143,0.002,8.941,0.002,9.482,0.002,9.063,0.004,9.299,0.021
PSO J243.9421+67.2075,16.0,Young,37.6,1.7,15.214,0.007,17.914,0.011,15.595,0.012,14.755,0.018,17.189,0.021,15.846,0.010,14.891,0.008,16.541,0.009,15.710,0.027,15.633,0.046
