Name,Spectral Type,Age Category,plx_mas,plx_mas_err,F200W,F200W_err,F115W,F115W_err,F182M,F182M_err,F212N,F212N_err,F140M,F140M_err,F162M,F162M_err,F210M,F210M_err,F150W,F150W_err,F164N,F164N_err,F187N,F187N_err
SDSSp J083717.22-000018.3,21.0,Field,29.8,2.7,16.282,0.022,17.457,0.009,16.608,0.040,15.693,0.018,17.771,0.044,16.123,0.009,15.897,0.010,16.877,0.011,16.023,0.022,16.630,0.262
SDSSp J085758.45+570851.4,18.0,Field,72.7,0.7,13.288,0.001,15.436,0.002,13.623,0.002,12.827,0.003,15.012,0.004,13.641,0.002,12.969,0.002,14.331,0.002,13.527,0.005,13.677,0.008
SDSSp J111010.01+011613.1,25.5,Young,52.1,1.2,16.287,0.035,16.709,0.013,16.821,0.076,15.420,0.043,18.234,0.143,15.996,0.029,15.718,0.023,16.725,0.030,16.306,0.106,17.157,0.353
SDSSp J120358.19+001550.3,13.0,Field,66.3,0.5,12.928,0.001,14.353,0.002,13.185,0.002,12.510,0.003,14.096,0.003,13.023,0.002,12.654,0.002,13.594,0.002,12.933,0.005,13.386,0.013
SDSSp J125453.90-012247.4,22.0,Field,74.2,2.3,14.168,0.003,15.242,0.003,14.504,0.006,13.551,0.006,15.779,0.009,13.934,0.003,13.756,0.003,14.728,0.003,13.862,0.007,14.773,0.025
SDSSp J132629.82-003831.5,18.0,Field,47.9,2.9,14.609,0.003,16.720,0.005,14.903,0.005,14.209,0.006,16.157,0.008,15.014,0.004,14.337,0.003,15.621,0.004,14.910,0.009,14.891,0.019
SDSSp J134646.45-003150.4,26.5,Field,69.2,2.3,16.154,0.016,16.218,0.004,16.791,0.040,15.279,0.014,18.006,0.046,15.763,0.008,15.539,0.008,16.478,0.008,16.318,0.031,16.660,0.129
SDSSp J144600.60+002452.0,16.0,Field,45.0,3.0,14.397,0.003,16.031,0.003,14.683,0.004,13.966,0.006,15.699,0.006,14.578,0.004,14.105,0.003,15.170,0.003,14.482,0.008,14.866,0.021
SDSSp J162414.37+002915.6,26.0,Field,91.8,1.2,15.803,0.011,15.779,0.002,16.364,0.026,14.974,0.009,17.538,0.032,15.269,0.003,15.211,0.004,16.000,0.005,15.794,0.012,16.445,0.136
SDSSp J163600.79-003452.6,10.0,Field,25.8,2.8,13.617,0.001,14.827,0.002,13.770,0.002,13.388,0.005,14.450,0.003,13.800,0.002,13.465,0.002,14.179,0.002,13.710,0.005,13.804,0.012
SDSSp J175032.96+175903.9,23.5,Field,45.0,3.0,16.242,0.008,16.666,0.003,16.595,0.012,15.544,0.010,17.614,0.015,15.746,0.005,15.779,0.007,16.479,0.005,15.807,0.010,16.824,0.056
